Result Date,Numbers,Bonus Number,Prize,Rollover
2009-Dec-25 Friday,"['8', '9', '12', '13', '29', '30', '31']",47,"25,000,000",True
2009-Dec-18 Friday,"['8', '10', '15', '17', '33', '34', '35']",13,"20,000,000",True
2009-Dec-11 Friday,"['1', '4', '5', '7', '22', '29', '48']",13,"15,000,000",True
2009-Dec-04 Friday,"['1', '6', '13', '19', '32', '35', '40']",7,"10,000,000",True
2009-Nov-27 Friday,"['11', '15', '24', '26', '37', '38', '43']",17,"25,000,000",False
2009-Nov-20 Friday,"['2', '8', '28', '30', '36', '39', '42']",24,"20,000,000",True
2009-Nov-13 Friday,"['8', '18', '27', '28', '38', '41', '48']",36,"15,000,000",True
2009-Nov-06 Friday,"['2', '7', '8', '11', '16', '17', '18']",12,"50,000,000",False
2009-Oct-30 Friday,"['6', '9', '10', '14', '17', '18', '19']",46,"40,000,000",True
2009-Oct-23 Friday,"['4', '7', '10', '12', '23', '25', '36']",18,"30,166,299.20",True
2009-Oct-16 Friday,"['4', '10', '18', '20', '31', '35', '44']",29,"25,000,000",True
2009-Oct-09 Friday,"['5', '15', '25', '38', '42', '46', '47']",26,"20,000,000",True
2009-Oct-02 Friday,"['8', '27', '28', '29', '31', '32', '35']",11,"15,000,000",True
2009-Sep-25 Friday,"['5', '17', '19', '25', '31', '38', '46']",4,"10,000,000",True
2010-Dec-31 Friday,"['2', '7', '10', '22', '32', '34', '38']",1,"50,000,000",False
2010-Dec-24 Friday,"['8', '23', '25', '26', '33', '41', '43']",21,"50,000,000",True
2010-Dec-17 Friday,"['1', '16', '28', '29', '33', '37', '47']",24,"39,621,339.80",True
2010-Dec-10 Friday,"['7', '9', '12', '20', '28', '38', '44']",10,"28,231,377.60",True
2010-Dec-03 Friday,"['1', '10', '13', '26', '43', '46', '49']",31,"20,000,000",True
2010-Nov-26 Friday,"['12', '21', '23', '27', '28', '29', '37']",9,"15,000,000",True
2010-Nov-19 Friday,"['4', '13', '25', '29', '36', '40', '48']",24,"10,000,000",True
2010-Nov-12 Friday,"['13', '15', '17', '18', '19', '47', '49']",38,"22,292,309.80",False
2010-Nov-05 Friday,"['7', '10', '24', '30', '35', '36', '39']",3,"16,000,000",True
2010-Oct-29 Friday,"['2', '6', '21', '26', '28', '33', '47']",11,"50,000,000",True
2010-Oct-22 Friday,"['12', '15', '19', '20', '28', '29', '39']",14,"43,762,641.80",True
2010-Oct-15 Friday,"['3', '14', '17', '25', '30', '33', '39']",7,"31,472,826.20",True
2010-Oct-08 Friday,"['3', '4', '5', '8', '13', '22', '33']",32,"22,168,306.30",True
2010-Oct-01 Friday,"['10', '12', '13', '25', '28', '29', '41']",39,"15,000,000",True
2010-Sep-24 Friday,"['9', '22', '25', '30', '31', '39', '42']",19,"10,000,000",True
2010-Sep-17 Friday,"['2', '5', '6', '43', '46', '47', '48']",39,"23,350,284.70",False
2010-Sep-10 Friday,"['4', '17', '27', '32', '34', '39', '47']",13,"15,074,724.90",True
2010-Sep-03 Friday,"['12', '17', '27', '28', '31', '36', '48']",37,"10,000,000",True
